<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОФЗ 26240;1;20250715;164700;62.127;62.127;62.127;62.127;12;0
ОФЗ 26240;1;20250715;164800;62.126;62.127;62.109;62.109;10;0
ОФЗ 26240;1;20250715;165000;62.11;62.11;62.109;62.109;38;0
ОФЗ 26240;1;20250715;165100;62.127;62.127;62.11;62.127;56;0
ОФЗ 26240;1;20250715;165300;62.12;62.127;62.12;62.127;21;0
ОФЗ 26240;1;20250715;165400;62.126;62.128;62.126;62.128;23;0
ОФЗ 26240;1;20250715;165500;62.128;62.129;62.113;62.129;59;0
ОФЗ 26240;1;20250715;165600;62.13;62.141;62.13;62.141;139;0
ОФЗ 26240;1;20250715;165700;62.141;62.141;62.141;62.141;5;0
ОФЗ 26240;1;20250715;165800;62.141;62.141;62.141;62.141;2;0
ОФЗ 26240;1;20250715;165900;62.141;62.202;62.141;62.171;286;0
ОФЗ 26240;1;20250715;170000;62.203;62.22;62.153;62.22;1779;0
ОФЗ 26240;1;20250715;170100;62.216;62.22;62.216;62.22;11;0
ОФЗ 26240;1;20250715;170200;62.22;62.22;62.22;62.22;10;0
ОФЗ 26240;1;20250715;170300;62.22;62.22;62.22;62.22;1;0
ОФЗ 26240;1;20250715;170400;62.22;62.22;62.22;62.22;1;0
ОФЗ 26240;1;20250715;170500;62.22;62.244;62.173;62.244;186;0
ОФЗ 26240;1;20250715;170600;62.18;62.18;62.154;62.154;116;0
ОФЗ 26240;1;20250715;170700;62.226;62.226;62.226;62.226;1;0
ОФЗ 26240;1;20250715;170800;62.219;62.219;62.215;62.216;290;0
ОФЗ 26240;1;20250715;170900;62.189;62.234;62.189;62.234;80;0
ОФЗ 26240;1;20250715;171000;62.24;62.241;62.234;62.24;7;0
ОФЗ 26240;1;20250715;171100;62.24;62.24;62.237;62.237;6;0
ОФЗ 26240;1;20250715;171200;62.237;62.237;62.235;62.235;10;0
ОФЗ 26240;1;20250715;171300;62.235;62.235;62.233;62.233;9;0
ОФЗ 26240;1;20250715;171400;62.2;62.242;62.174;62.174;693;0
ОФЗ 26240;1;20250715;171500;62.221;62.238;62.152;62.238;353;0
ОФЗ 26240;1;20250715;171600;62.221;62.228;62.221;62.228;40;0
ОФЗ 26240;1;20250715;171700;62.218;62.312;62.218;62.312;1016;0
ОФЗ 26240;1;20250715;171800;62.25;62.286;62.22;62.22;124;0
ОФЗ 26240;1;20250715;171900;62.284;62.284;62.185;62.279;250;0
ОФЗ 26240;1;20250715;172000;62.278;62.278;62.278;62.278;4;0
ОФЗ 26240;1;20250715;172100;62.228;62.291;62.224;62.289;1062;0
ОФЗ 26240;1;20250715;172200;62.227;62.281;62.224;62.281;291;0
ОФЗ 26240;1;20250715;172300;62.275;62.278;62.25;62.278;2366;0
ОФЗ 26240;1;20250715;172400;62.278;62.284;62.25;62.25;30;0
ОФЗ 26240;1;20250715;172500;62.281;62.281;62.281;62.281;1;0
ОФЗ 26240;1;20250715;172600;62.281;62.283;62.281;62.283;16;0
ОФЗ 26240;1;20250715;172700;62.284;62.284;62.256;62.256;14;0
ОФЗ 26240;1;20250715;172800;62.256;62.256;62.256;62.256;21;0
ОФЗ 26240;1;20250715;172900;62.257;62.283;62.257;62.282;38;0
ОФЗ 26240;1;20250715;173000;62.28;62.282;62.28;62.282;2;0
ОФЗ 26240;1;20250715;173100;62.282;62.3;62.282;62.295;124;0
